Estructura,Tamaño,Segundos,Bytes
SA + LCP,4000000,2696,63999992
SA + LCP,4000000,2698,63999992
SA + LCP,4000000,2716,63999992
SA + LCP,4000000,2715,63999992
SA + LCP,4000000,2702,63999992
SA + LCP,4000000,2704,63999992
SA + LCP,4000000,2698,63999992
SA + LCP,4000000,2704,63999992
SA + LCP,4000000,2726,63999992
SA + LCP,4000000,2694,63999992
SA + LCP,4000000,2709,63999992
SA + LCP,4000000,2705,63999992
SA + LCP,4000000,2697,63999992
SA + LCP,4000000,2691,63999992
SA + LCP,4000000,2688,63999992
SA + LCP,4000000,2682,63999992
SA + LCP,4000000,2709,63999992
SA + LCP,4000000,2681,63999992
SA + LCP,4000000,2697,63999992
SA + LCP,4000000,2677,63999992
SA + LCP,4000000,2691,63999992
SA + LCP,4000000,2703,63999992
SA + LCP,4000000,2713,63999992
SA + LCP,4000000,2706,63999992
SA + LCP,4000000,2699,63999992
SA + LCP,4000000,2713,63999992
SA + LCP,4000000,2714,63999992
SA + LCP,4000000,2705,63999992
SA + LCP,4000000,2705,63999992
SA + LCP,4000000,2702,63999992
SA + LCP,4000000,2699,63999992
SA + LCP,4000000,2701,63999992
SA + LCP,4000000,2726,63999992
SA + LCP,4000000,2701,63999992
SA + LCP,4000000,2707,63999992
SA + LCP,4000000,2706,63999992
SA + LCP,4000000,2701,63999992
SA + LCP,4000000,2707,63999992
SA + LCP,4000000,2714,63999992
SA + LCP,4000000,2709,63999992
SA + LCP,4000000,2702,63999992
SA + LCP,4000000,2712,63999992
SA + LCP,4000000,2711,63999992
SA + LCP,4000000,2711,63999992
SA + LCP,4000000,2725,63999992
SA + LCP,4000000,2695,63999992
SA + LCP,4000000,2720,63999992
SA + LCP,4000000,2712,63999992
SA + LCP,4000000,2709,63999992
SA + LCP,4000000,2702,63999992
SA + LCP,4000000,2685,63999992
SA + LCP,4000000,2689,63999992
SA + LCP,4000000,2692,63999992
SA + LCP,4000000,2704,63999992
SA + LCP,4000000,2695,63999992
SA + LCP,4000000,2704,63999992
SA + LCP,4000000,2701,63999992
SA + LCP,4000000,2698,63999992
SA + LCP,4000000,2686,63999992
SA + LCP,4000000,2681,63999992
SA + LCP,4000000,2675,63999992
SA + LCP,4000000,2689,63999992
SA + LCP,4000000,2687,63999992
SA + LCP,4000000,2699,63999992
SA + LCP,4000000,2688,63999992
SA + LCP,4000000,2690,63999992
SA + LCP,4000000,2696,63999992
SA + LCP,4000000,2728,63999992
SA + LCP,4000000,2705,63999992
SA + LCP,4000000,2697,63999992
SA + LCP,4000000,2701,63999992
SA + LCP,4000000,2728,63999992
SA + LCP,4000000,2708,63999992
SA + LCP,4000000,2702,63999992
SA + LCP,4000000,2702,63999992
SA + LCP,4000000,2707,63999992
SA + LCP,4000000,2698,63999992
SA + LCP,4000000,2710,63999992
SA + LCP,4000000,2715,63999992
SA + LCP,4000000,2705,63999992
SA + LCP,4000000,2711,63999992
SA + LCP,4000000,2707,63999992
SA + LCP,4000000,2698,63999992
SA + LCP,4000000,2710,63999992
SA + LCP,4000000,2708,63999992
SA + LCP,4000000,2722,63999992
SA + LCP,4000000,2711,63999992
SA + LCP,5000000,3183,79999992
SA + LCP,5000000,3216,79999992
SA + LCP,5000000,3215,79999992
