Estructura,Tamaño,Milisegundos,Bytes
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1169,63999992
SA + LCP,4000000,1169,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1169,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1170,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1166,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1170,63999992
SA + LCP,4000000,1169,63999992
SA + LCP,4000000,1167,63999992
SA + LCP,4000000,1168,63999992
SA + LCP,4000000,1185,63999992
SA + LCP,5000000,1499,79999992
SA + LCP,5000000,1525,79999992
SA + LCP,5000000,1525,79999992
SA + LCP,5000000,1526,79999992
SA + LCP,5000000,1540,79999992
SA + LCP,5000000,1526,79999992
SA + LCP,5000000,1526,79999992
SA + LCP,5000000,1526,79999992
SA + LCP,5000000,1528,79999992
SA + LCP,5000000,1527,79999992
SA + LCP,5000000,1526,79999992
