Estructura,Segundos,Bytes
FMI,7000000,1574,1827257
FMI,7000000,1584,1827257
FMI,7000000,1546,1827257
FMI,7000000,1616,1827257
FMI,7000000,1603,1827257
FMI,7000000,1620,1827257
FMI,7000000,1619,1827257
FMI,7000000,1582,1827257
FMI,7000000,1572,1827257
FMI,7000000,1542,1827257
FMI,7000000,1569,1827257
FMI,7000000,1599,1827257
FMI,7000000,1528,1827257
FMI,7000000,1599,1827257
FMI,7000000,1541,1827257
FMI,7000000,1584,1827257
FMI,7000000,1562,1827257
FMI,7000000,1559,1827257
FMI,7000000,1607,1827257
FMI,7000000,1584,1827257
FMI,7000000,1555,1827257
FMI,7000000,1561,1827257
FMI,7000000,1568,1827257
FMI,7000000,1605,1827257
FMI,7000000,1605,1827257
FMI,7000000,1574,1827257
FMI,7000000,1635,1827257
FMI,7000000,1567,1827257
FMI,7000000,1642,1827257
FMI,7000000,1623,1827257
FMI,7000000,1586,1827257
FMI,7000000,1617,1827257
FMI,7000000,1595,1827257
FMI,7000000,1599,1827257
FMI,7000000,1579,1827257
FMI,7000000,1581,1827257
FMI,7000000,1594,1827257
FMI,7000000,1616,1827257
FMI,7000000,1598,1827257
FMI,7000000,1597,1827257
FMI,7000000,1598,1827257
FMI,7000000,1590,1827257
FMI,7000000,1628,1827257
FMI,7000000,1602,1827257
FMI,7000000,1614,1827257
FMI,7000000,1579,1827257
FMI,7000000,1573,1827257
FMI,7000000,1569,1827257
FMI,7000000,1565,1827257
FMI,7000000,1583,1827257
FMI,7000000,1579,1827257
FMI,7000000,1554,1827257
FMI,7000000,1561,1827257
FMI,7000000,1573,1827257
FMI,7000000,1566,1827257
FMI,7000000,1558,1827257
FMI,7000000,1570,1827257
FMI,7000000,1582,1827257
FMI,7000000,1588,1827257
FMI,7000000,1586,1827257
FMI,7000000,1606,1827257
FMI,7000000,1655,1827257
FMI,7000000,1576,1827257
FMI,7000000,1617,1827257
FMI,7000000,1612,1827257
FMI,7000000,1627,1827257
FMI,7000000,1597,1827257
FMI,7000000,1621,1827257
FMI,7000000,1593,1827257
FMI,7000000,1601,1827257
FMI,7000000,1617,1827257
FMI,7000000,1581,1827257
FMI,7000000,1617,1827257
FMI,7000000,1552,1827257
FMI,7000000,1613,1827257
FMI,7000000,1616,1827257
FMI,7000000,1590,1827257
FMI,7000000,1614,1827257
FMI,7000000,1614,1827257
FMI,7000000,1615,1827257
FMI,7000000,1635,1827257
FMI,7000000,1590,1827257
FMI,7000000,1619,1827257
FMI,8000000,1926,2095369
FMI,8000000,1929,2095369
FMI,8000000,1931,2095369
FMI,8000000,1912,2095369
FMI,8000000,1919,2095369
FMI,8000000,1907,2095369
FMI,8000000,1961,2095369
FMI,8000000,1906,2095369
FMI,8000000,1945,2095369
FMI,8000000,1906,2095369
FMI,8000000,1931,2095369
FMI,8000000,1926,2095369
FMI,8000000,1914,2095369
FMI,8000000,1921,2095369
FMI,8000000,1916,2095369
FMI,8000000,1963,2095369
FMI,8000000,1865,2095369
FMI,8000000,1945,2095369
FMI,8000000,1904,2095369
FMI,8000000,1897,2095369
FMI,8000000,1921,2095369
FMI,8000000,1915,2095369
FMI,8000000,1926,2095369
FMI,8000000,1877,2095369
FMI,8000000,1884,2095369
FMI,8000000,1873,2095369
FMI,8000000,1924,2095369
FMI,8000000,1901,2095369
FMI,8000000,1940,2095369
FMI,8000000,1876,2095369
FMI,8000000,1898,2095369
FMI,8000000,1909,2095369
FMI,8000000,1901,2095369
FMI,8000000,1849,2095369
FMI,8000000,1853,2095369
FMI,8000000,1849,2095369
FMI,8000000,1845,2095369
FMI,8000000,1840,2095369
FMI,8000000,1856,2095369
FMI,8000000,1843,2095369
FMI,8000000,1871,2095369
FMI,8000000,1868,2095369
FMI,8000000,1830,2095369
FMI,8000000,1882,2095369
FMI,8000000,1912,2095369
FMI,8000000,1926,2095369
FMI,8000000,1967,2095369
FMI,8000000,1906,2095369
FMI,8000000,1880,2095369
FMI,8000000,1894,2095369
FMI,8000000,1920,2095369
FMI,8000000,1898,2095369
FMI,8000000,1901,2095369
FMI,8000000,1920,2095369
FMI,8000000,1913,2095369
FMI,8000000,1881,2095369
FMI,8000000,1941,2095369
FMI,8000000,1911,2095369
